wall_time,sim_time,teleop_active,ros_fresh,clutch_id,fr3_command_position_x,fr3_command_position_y,fr3_command_position_z,fr3_target_position_x,fr3_target_position_y,fr3_target_position_z,fr3_actual_position_x,fr3_actual_position_y,fr3_actual_position_z,fr3_command_rotvec_x,fr3_command_rotvec_y,fr3_command_rotvec_z,fr3_target_rotvec_x,fr3_target_rotvec_y,fr3_target_rotvec_z,fr3_actual_rotvec_x,fr3_actual_rotvec_y,fr3_actual_rotvec_z,command_target_rotation_gap_deg,teleop_mode,position_error_norm,orientation_error_norm_rad,linear_task_velocity_norm,angular_task_velocity_norm,weighted_task_twist_norm,target_linear_speed_mps,target_linear_acceleration_norm_mps2,control_dt,target_angular_speed_radps,target_angular_acceleration_norm_radps2,raw_max_qdot_radps,cmd_max_qdot_radps,qdot_task_norm,task_residual_norm,joint_speed_saturated,jacobian_condition,deadline_misses,fr3_joint_1,fr3_joint_2,fr3_joint_3,fr3_joint_4,fr3_joint_5,fr3_joint_6,fr3_joint_7
24795.944202856,0.010000000000000002,0,1,0,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5545465404515335,-6.926197150361848e-07,0.6242852203828402,0.0,0.0,0.0,0.0,0.0,0.0,-1.0092785103231395e-05,0.00044784588971643393,6.816657123040075e-07,0.0,full_pose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3,2.8935029017011865e-07,0.0001905184161760946,4.091495494707217e-07,-1.5710215617273802,-1.0092702542044018e-05,1.5707642342502164,-0.7852999812297868
24795.954349544,0.02000000000000001,0,1,0,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5546552313269413,-2.497077318489659e-06,0.6238509917181411,0.0,0.0,0.0,0.0,0.0,0.0,-3.095538242602162e-05,0.0013320195334039287,1.4757980573408757e-06,0.0,full_pose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4,6.372583694787642e-07,0.0006165670101336384,8.329607789927193e-07,-1.571432088334821,-3.09549114818813e-05,1.5707166357884945,-0.7852999874294949
24795.964229604,0.03000000000000002,0,1,0,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5547755719998118,-4.885973437732471e-06,0.6233829201220994,0.0,0.0,0.0,0.0,0.0,0.0,-5.4560000379217246e-05,0.0022833145479578547,1.7707425585779548e-06,0.0,full_pose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5,7.584552700766233e-07,0.0010870701046840686,9.589658711289688e-07,-1.5718612542897157,-5.455909607372961e-05,1.5706650097989763,-0.7852999981982836
24795.97426755,0.04000000000000003,0,1,0,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5548907884841668,-7.4562096155257835e-06,0.6229369361994251,0.0,0.0,0.0,0.0,0.0,0.0,-7.812211473495442e-05,0.0031891534714504023,1.746510112660658e-06,0.0,full_pose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,10,7.302684308786459e-07,0.0015382914321710002,8.995573349721215e-07,-1.5722666517856094,-7.81209545455504e-05,1.570615789681289,-0.7853000062184546
24795.984212079,0.05000000000000004,0,1,0,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5549962757781807,-9.998827399993237e-06,0.6225282388746262,0.0,0.0,0.0,0.0,0.0,0.0,-0.00010067747659901924,0.0040191019698718215,1.5894338587323635e-06,0.0,full_pose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,10,6.37777348060687e-07,0.0019525120983990981,7.603636643063128e-07,-1.5726372294141955,-0.00010067626751973946,1.5705706394695373,-0.785300011700447
24795.994220782,0.060000000000000046,0,1,0,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5550913082509049,-1.2425675256387197e-05,0.6221587622681062,0.0,0.0,0.0,0.0,0.0,0.0,-0.00012193272486718851,0.004769895637401913,1.3987238328459848e-06,0.0,full_pose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12,5.275438297861271e-07,0.002326993557708709,5.970961805911077e-07,-1.5729720511913743,-0.000121931627764053,1.5705291490381739,-0.7853000158610817
24796.004369119,0.07000000000000005,0,1,0,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5551764011568011,-1.4706627390948265e-05,0.6218263591885133,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014183786169318137,0.005446264131063771,1.2162650161566654e-06,0.0,full_pose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,16,4.200065249960259e-07,0.0026636721412751654,4.339177030472687e-07,-1.5732732921611914,-0.00014183698429675386,1.5704907001030926,-0.7853000194495738
24796.01452674,0.08000000000000006,0,1,0,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5552524275507768,-1.683647176557844e-05,0.6215278347369048,0.0,0.0,0.0,0.0,0.0,0.0,-0.00016043017972649015,0.006054724383324943,1.0562371804582731e-06,0.0,full_pose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,21,3.2266545722658645e-07,0.0029657491512482194,2.7985881835372087e-07,-1.5735439037485883,-0.00016042958834602296,1.5704549284570235,-0.7853000228053144
24796.024299279,0.09000000000000007,0,1,0,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5553203026301657,-1.8819860125932992e-05,0.6212599055439466,0.0,0.0,0.0,0.0,0.0,0.0,-0.00017777698255570698,0.00660185353045538,9.21264855904049e-07,0.0,full_pose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24,2.374317226316451e-07,0.003236578567500767,1.3755569942725815e-07,-1.5737868642129316,-0.00017777671428211703,1.5704215892015747,-0.7853000260696392
24796.036139655,0.10000000000000007,0,1,0,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5553808867596917,-2.0664905426163685e-05,0.6210194892569822,0.0,0.0,0.0,0.0,0.0,0.0,-0.00019395378472103573,0.007093786998193188,8.097294558248858e-07,0.0,full_pose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,27,1.6403461580107202e-07,0.0034793261918181517,7.1799924543891085e-09,-1.5740049550256339,-0.00019395385645640926,1.5703904941832583,-0.7853000292944923
24796.044344865,0.11000000000000008,0,1,0,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5554349608902466,-2.2380609200981652e-05,0.620803776032926,0.0,0.0,0.0,0.0,0.0,0.0,-0.00020903606627738154,0.007536105392506947,7.187618974775669e-07,0.0,full_pose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,30,1.014572573825743e-07,0.0036968818133849154,-1.1195090657405244e-07,-1.574200708152998,-0.00020903648095759676,1.5703614845509275,-0.7853000324935009
24796.05443555,0.12000000000000009,0,1,0,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5554832252709896,-2.3975880939484978e-05,0.6206102307100813,0.0,0.0,0.0,0.0,0.0,0.0,-0.00022309625496085464,0.00793384133137433,6.453690560532479e-07,0.0,full_pose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,31,4.850278138615337e-08,0.003891852468140432,-2.2075579317007412e-07,-1.5743764076348281,-0.0002230970058664877,1.5703344187618797,-0.7853000356648121
24796.064274308,0.1300000000000001,0,1,0,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5555263051394987,-2.545919214690377e-05,0.6204365744068442,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002362027343080353,0.00829152004422797,5.868114877259692e-07,0.0,full_pose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,31,4.002927581250861e-09,0.004066580160140322,-3.2016716609114305e-07,-1.5745341071252377,-0.0002362038081421175,1.5703091672445217,-0.7853000388009752
24796.074400326,0.1400000000000001,0,1,0,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5555647580266296,-2.6838475352424872e-05,0.6202807613508607,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002484196357636954,0.008613206634140664,5.406981568785407e-07,0.0,full_pose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,36,-3.311361103713972e-08,0.0042231655706561405,-4.110586170116252e-07,-1.5746756509403812,-0.00024842101490229606,1.5702856098929756,-0.7853000418931023
