wall_time,sim_time,teleop_active,ros_fresh,position_error_mm,orientation_error_deg,target_linear_speed_mps,target_angular_speed_radps,raw_max_qdot_radps,cmd_max_qdot_radps,qdot_saturated,jacobian_condition,max_q_command_error_rad,deadline_misses
7523.026873631,0.010000000000000002,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.00023156172738025838,1
7523.036855774,0.02000000000000001,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0006420883348210449,1
7523.046885315,0.03000000000000002,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0010870701046840686,1
7523.056880721,0.04000000000000003,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0015382914321710002,4
7523.066847891,0.05000000000000004,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0019525120983990981,4
7523.076867986,0.060000000000000046,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.002326993557708709,4
7523.086829959,0.07000000000000005,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0026636721412751654,6
7523.096912272,0.08000000000000006,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0029657491512482194,6
7523.10694791,0.09000000000000007,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.003236578567500767,6
7523.116810541,0.10000000000000007,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0034793261918181517,6
7523.126842869,0.11000000000000008,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0036968818133849154,9
7523.136867967,0.12000000000000009,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.003891852468140432,9
7523.146891478,0.1300000000000001,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.004066580160140322,9
7523.156888027,0.1400000000000001,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0042231655706561405,11
7523.166949892,0.1500000000000001,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0043634918762542945,11
7523.176872297,0.16000000000000011,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.004489246934098883,11
7523.189288586,0.17000000000000012,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.004601943436198346,12
7523.196864015,0.18000000000000013,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0047029370580503,14
7523.206857962,0.19000000000000014,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.00479344274985854,14
7523.216857967,0.20000000000000015,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.004874549344019622,14
7523.226852082,0.21000000000000016,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.004947232647788313,17
7523.236849572,0.22000000000000017,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.005012367176722273,17
7523.24686935,0.23000000000000018,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.005070736669659783,17
7523.257332209,0.24000000000000019,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0051230435117468704,20
7523.267251484,0.25000000000000017,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.005169917178980228,20
7523.276856062,0.2600000000000002,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.005211921805952601,20
7523.286847488,0.2700000000000002,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.005249536049669865,20
7523.296877455,0.2800000000000002,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.00528308929435087,23
7523.30685101,0.2900000000000002,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0053130514465207146,23
7523.316934032,0.3000000000000002,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.005339878191504068,23
