wall_time,sim_time,teleop_active,ros_fresh,clutch_id,omy_raw_clutch_position_dx,omy_raw_clutch_position_dy,omy_raw_clutch_position_dz,omy_delta_position_x_m,omy_delta_position_y_m,omy_delta_position_z_m,omy_delta_rotvec_x_rad,omy_delta_rotvec_y_rad,omy_delta_rotvec_z_rad,fr3_command_position_dx,fr3_command_position_dy,fr3_command_position_dz,fr3_target_position_dx,fr3_target_position_dy,fr3_target_position_dz,fr3_actual_position_dx,fr3_actual_position_dy,fr3_actual_position_dz,mapped_position_delta_x_m,mapped_position_delta_y_m,mapped_position_delta_z_m,mapped_rotation_delta_x_rad,mapped_rotation_delta_y_rad,mapped_rotation_delta_z_rad,fr3_command_position_x,fr3_command_position_y,fr3_command_position_z,fr3_target_position_x,fr3_target_position_y,fr3_target_position_z,fr3_actual_position_x,fr3_actual_position_y,fr3_actual_position_z,fr3_command_rotvec_x,fr3_command_rotvec_y,fr3_command_rotvec_z,fr3_target_rotvec_x,fr3_target_rotvec_y,fr3_target_rotvec_z,fr3_actual_rotvec_x,fr3_actual_rotvec_y,fr3_actual_rotvec_z,omy_base_ee_position_x,omy_base_ee_position_y,omy_base_ee_position_z,omy_base_ee_rotvec_x,omy_base_ee_rotvec_y,omy_base_ee_rotvec_z,omy_clutch_base_delta_x,omy_clutch_base_delta_y,omy_clutch_base_delta_z,omy_clutch_spatial_rotvec_x,omy_clutch_spatial_rotvec_y,omy_clutch_spatial_rotvec_z,omy_relative_rotation_deg,fr3_command_cumulative_rotation_deg,fr3_target_cumulative_rotation_deg,command_target_rotation_gap_deg,position_error_mm,orientation_error_deg,target_linear_speed_mps,target_angular_speed_radps,raw_max_qdot_radps,cmd_max_qdot_radps,qdot_saturated,jacobian_condition,max_q_command_error_rad,deadline_misses
13298.286855338,0.010000000000000002,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5545465404515335,-6.926197150361848e-07,0.6242852203828402,0.0,0.0,0.0,0.0,0.0,0.0,-1.0092785103231395e-05,0.00044784588971643393,6.816657123040075e-07,-0.21746580545307728,0.202584060015869,0.3623809496340049,0.21773391112725668,-0.05150684981135391,-1.7022109366714369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.00023156172738025838,2
13298.296374701,0.02000000000000001,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5546552313269413,-2.497077318489659e-06,0.6238509917181411,0.0,0.0,0.0,0.0,0.0,0.0,-3.095538242602162e-05,0.0013320195334039287,1.4757980573408757e-06,-0.217341069994542,0.20471887224489305,0.3596185225658713,0.2352857807514368,-0.03214578935895683,-1.7072488082838715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0006420883348210449,4
13298.306514157,0.03000000000000002,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5547755719998118,-4.885973437732471e-06,0.6233829201220994,0.0,0.0,0.0,0.0,0.0,0.0,-5.4560000379217246e-05,0.0022833145479578547,1.7707425585779548e-06,-0.217232226636053,0.20630782097228462,0.35787239677095734,0.24586630527480682,-0.018029852438592724,-1.7107639923840234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0010870701046840686,6
13298.316684755,0.04000000000000003,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5548907884841668,-7.4562096155257835e-06,0.6229369361994251,0.0,0.0,0.0,0.0,0.0,0.0,-7.812211473495442e-05,0.0031891534714504023,1.746510112660658e-06,-0.21710277278026544,0.20815879565393536,0.3561018847498013,0.2549382588102772,-0.004808528513492617,-1.7145980480669358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0015382914321710002,12
13298.326646531,0.05000000000000004,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5549962757781807,-9.998827399993237e-06,0.6225282388746262,0.0,0.0,0.0,0.0,0.0,0.0,-0.00010067747659901924,0.0040191019698718215,1.5894338587323635e-06,-0.21697068211160422,0.21032204293358792,0.3541713147682252,0.265913409798522,0.006501666705501726,-1.7200284512499973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0019525120983990981,14
13298.33626022,0.060000000000000046,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5550913082509049,-1.2425675256387197e-05,0.6221587622681062,0.0,0.0,0.0,0.0,0.0,0.0,-0.00012193272486718851,0.004769895637401913,1.3987238328459848e-06,-0.21679909786532742,0.21275468214393808,0.35231549475816504,0.2696360146433763,0.015330379454049496,-1.724235769656712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.002326993557708709,15
13298.347309117,0.07000000000000005,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5551764011568011,-1.4706627390948265e-05,0.6218263591885133,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014183786169318137,0.005446264131063771,1.2162650161566654e-06,-0.21661172058477093,0.21511617868781155,0.3509004192529586,0.2704615616026309,0.022191677671092872,-1.7289761305459428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0026636721412751654,20
13298.356775286,0.08000000000000006,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5552524275507768,-1.683647176557844e-05,0.6215278347369048,0.0,0.0,0.0,0.0,0.0,0.0,-0.00016043017972649015,0.006054724383324943,1.0562371804582731e-06,-0.216431760111111,0.2174591426609927,0.34957549790281,0.2738265345582708,0.031421537229066474,-1.7331822375806492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0029657491512482194,22
13298.366616343,0.09000000000000007,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5553203026301657,-1.8819860125932992e-05,0.6212599055439466,0.0,0.0,0.0,0.0,0.0,0.0,-0.00017777698255570698,0.00660185353045538,9.21264855904049e-07,-0.2162271280494723,0.22006961266555997,0.3482809046759003,0.2755951018290944,0.03982806310004538,-1.7376848452896978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.003236578567500767,24
13298.376692862,0.10000000000000007,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.5553808867596917,-2.0664905426163685e-05,0.6210194892569822,0.0,0.0,0.0,0.0,0.0,0.0,-0.00019395378472103573,0.007093786998193188,8.097294558248858e-07,-0.2160087006241997,0.22308822830375433,0.346678011054668,0.2785808263005175,0.049480417903194324,-1.7418335980006734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0034793261918181517,24
