wall_time,sim_time,teleop_active,ros_fresh,clutch_id,omy_relative_rotation_deg,fr3_command_cumulative_rotation_deg,fr3_target_cumulative_rotation_deg,command_target_rotation_gap_deg,position_error_mm,orientation_error_deg,target_linear_speed_mps,target_angular_speed_radps,raw_max_qdot_radps,cmd_max_qdot_radps,qdot_saturated,jacobian_condition,max_q_command_error_rad,deadline_misses
9294.627464885,0.010000000000000002,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.00023156172738025838,1
9294.637473226,0.02000000000000001,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0006420883348210449,2
9294.647226903,0.03000000000000002,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0010870701046840686,2
9294.657282752,0.04000000000000003,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0015382914321710002,6
9294.667293647,0.05000000000000004,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0019525120983990981,6
9294.677240772,0.060000000000000046,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.002326993557708709,6
9294.688635535,0.07000000000000005,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0026636721412751654,9
9294.697330253,0.08000000000000006,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0029657491512482194,10
9294.707299937,0.09000000000000007,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.003236578567500767,11
9294.717753163,0.10000000000000007,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0034793261918181517,13
9294.7272624,0.11000000000000008,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0036968818133849154,21
9294.737446262,0.12000000000000009,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.003891852468140432,21
9294.747262143,0.1300000000000001,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.004066580160140322,21
9294.757272093,0.1400000000000001,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0042231655706561405,25
9294.767291009,0.1500000000000001,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0043634918762542945,26
