timestamp,omy_position_x,omy_position_y,omy_position_z,fr3_target_position_x,fr3_target_position_y,fr3_target_position_z,fr3_actual_position_x,fr3_actual_position_y,fr3_actual_position_z,position_error_norm,omy_relative_angle_deg,fr3_target_angle_deg,fr3_actual_angle_deg,orientation_error_deg,q1,q2,q3,q4,q5,q6,q7,q_cmd1,q_cmd2,q_cmd3,q_cmd4,q_cmd5,q_cmd6,q_cmd7,max_joint_step
5336.960489209,-0.09686180661943197,0.3559197977194623,0.3393733071632253,0.555871656190683,-0.00018589815502917457,0.6182626088771117,0.5559442558426019,-4.536357061425789e-05,0.6186214674555575,0.00039217363271836566,0.16186400266313997,0.16186400266313908,4.347122768429271e-06,0.16186134628771792,-5.208366265083224e-08,0.005829066323175177,-1.6260763831977858e-06,-1.576241856536008,-0.00041526675481059425,1.5699621086038946,-0.7853000693221314,-2.1768819901847766e-05,3.924638650351718e-05,-2.1665099598035443e-05,-1.5707906772364852,7.573304249368116e-05,1.5706149255858768,-0.7851985568222727,6.585654268644757e-05
5336.98777563,-0.09593598387146064,0.3559812797244363,0.3393711769706054,0.5559146935941649,-0.0008339740786091059,0.6182611177422779,0.5559438133458963,-4.62956209717672e-05,0.6186205920418596,0.0008663181197612114,0.6035239641817929,0.6035239641817907,0.0010424916613080567,0.6024975679983663,-1.7713773449825682e-06,0.005829684156153772,-3.4654106769814313e-06,-1.576242456758675,-0.0004114505300691972,1.5699537821271305,-0.7852725084226517,-0.00019756932880042618,0.0001603959831896239,-0.0001980461077320833,-1.5706905072556236,0.0005801737433448458,1.5702539696195634,-0.7841873707478914,0.00029281146055689896
5337.017751622,-0.09554428720008971,0.3560087626975575,0.33987818514538265,0.5559339316753497,-0.0011081617485687555,0.6186160234646219,0.5559399833122682,-5.067384648922826e-05,0.61861588886554,0.001057505226214446,0.9851717869543976,0.9851717869543969,0.00969092336566109,0.9756335412044562,-1.1256718442262376e-05,0.005831830509471658,-1.338911618363083e-05,-1.5762430165745591,-0.0003575910425275303,1.5699035833443942,-0.7851121146514651,-0.0005600136798760139,0.00038659598021867695,-0.000561216279298222,-1.5703845189459744,0.0017056557405378447,1.5696113416207016,-0.7820971027700104,0.00048004209273324206
5337.046126729,-0.09478480348080796,0.35604886531319535,0.339873359938725,0.5559620035062962,-0.0016398003520659808,0.6186126458199616,0.5559331827933287,-6.19920683480244e-05,0.6186070434000616,0.0015780814303367537,1.3782253629617773,1.3782253629617702,0.0337373593482628,1.3445898095876423,-4.3575978274915714e-05,0.005851447922210968,-4.233439492078479e-05,-1.5762169063584666,-0.00017575466465025128,1.5697810430217238,-0.7847345583514431,-0.0010787173105986532,0.0007316136968683406,-0.0010798860519280133,-1.5698446697199357,0.003467017525283093,1.5685440603487044,-0.7791541016417365,0.0006534387513001135
5337.077188788,-0.0940591258109042,0.35620051299206495,0.3400471563717376,0.5560681568815049,-0.0021477747209986166,0.6187343033230703,0.5559263198183146,-9.53751446938292e-05,0.6185962128379485,0.0020619240421004084,1.729300833505752,1.7293008335057525,0.07947988378793679,1.6500674106679392,-0.00011850532594712444,0.005901886162192307,-0.00010495439993002219,-1.5761416755091016,0.00016953905760477825,1.5695624606768166,-0.7840809431458033,-0.0017070896313382748,0.0011060479933156155,-0.0017091636930111217,-1.5692973616144676,0.0055701068688991,1.5673695215959191,-0.7754057031143311,0.000811778216001962
5337.107208277,-0.09347684542301898,0.3559801163146354,0.33986445758155936,0.5559138792073042,-0.0025553709925182667,0.6186064141699456,0.5559193448558324,-0.00016380622082695414,0.6185819709642726,0.0023916959256586787,2.245654332493607,2.245654332493601,0.15181411029349157,2.093856765431011,-0.0002458764989966307,0.005986144216367761,-0.00021888123335539103,-1.5760147760024588,0.0007023894513854369,1.5692407709230574,-0.7830932150744391,-0.002502313161858808,0.0015672001463349521,-0.002505972411770721,-1.5685741395270885,0.00821307546251802,1.5658376552622753,-0.7705866146473059,0.0010347165275510302
5337.135822894,-0.09254943874789055,0.35600698017458265,0.3398588742997118,0.5559326839092673,-0.003204555665108168,0.6186025058726523,0.5559117023184539,-0.000277410739702144,0.6185645577655922,0.0029274660886699864,2.7179955462310326,2.7179955462310326,0.25675525895111856,2.4612442471891702,-0.000437471439843642,0.0061093899466290146,-0.00039689875295196404,-1.5758250208170892,0.001464519552541152,1.5687900405918567,-0.7817027514795218,-0.0034525919607685837,0.0021129763039572117,-0.003457261308525671,-1.5676816917320495,0.011509395635808356,1.5639802029201708,-0.7648483203273893,0.0012192313784921557
5337.165721952,-0.09228966677233491,0.3558855791974004,0.3398453574362874,0.5558477032252397,-0.003386396047997118,0.6185930440682552,0.5559026218231384,-0.0004434656203292109,0.6185443438815045,0.0029438456587732877,3.073830959947722,3.0738309599477174,0.3988859626621474,2.675513097774417,-0.0007029791762602304,0.006276314680067585,-0.0006488948152989735,-1.5755625505064073,0.0024884084460980007,1.568188698112797,-0.7798650311092752,-0.004526731269911863,0.0027301407251305327,-0.004531294650775951,-1.5666384478577513,0.015355297380066881,1.5616711117135937,-0.7584800402994283,0.0012930006732535916
5337.194323709,-0.09170775143636568,0.35577686169410827,0.3393252921716152,0.5557716009729352,-0.0037937367831755767,0.6182289983829847,0.555889740850724,-0.0006661063762773876,0.6185202977058417,0.003143387390757781,3.3970086951427487,3.3970086951427403,0.579965226750472,2.8188471442401486,-0.001046498650070094,0.006489375449823022,-0.0009799953928545289,-1.5752214427327615,0.0037970131085823546,1.5674069226890208,-0.7775861512999327,-0.005633828884140722,0.0034542798845494304,-0.005636909493235389,-1.5654779954086206,0.019521652910438368,1.5589787837103184,-0.7519341607273613,0.0013531225764939706
5337.223196601,-0.09128207354435587,0.35578431846320896,0.3393145511914852,0.5557768207113057,-0.004091711307582445,0.6182214796968937,0.555873231570897,-0.0009439200512193439,0.618492318013664,0.00316089200089375,3.6357205064479645,3.635720506447958,0.7987869612799783,2.8407253888771398,-0.0014664872365725986,0.006752275028815735,-0.0013888756804932125,-1.5747968699100703,0.005387466022496669,1.5664414978644503,-0.774889064022941,-0.00678337548057536,0.004213733798431603,-0.006784407831831297,-1.5642229328540505,0.02383638564283372,1.556245274203321,-0.7452446366179688,0.0013316459698113025
