timestamp,omy_position_x,omy_position_y,omy_position_z,fr3_target_position_x,fr3_target_position_y,fr3_target_position_z,fr3_actual_position_x,fr3_actual_position_y,fr3_actual_position_z,position_error_norm,omy_relative_angle_deg,fr3_target_angle_deg,fr3_actual_angle_deg,orientation_error_deg,q1,q2,q3,q4,q5,q6,q7,q_cmd1,q_cmd2,q_cmd3,q_cmd4,q_cmd5,q_cmd6,q_cmd7,max_joint_step
1984.844291786,-0.10351893953516422,0.325679138309185,0.36156946248457666,0.5561279657936737,3.540363857461991e-05,0.6191251179383768,0.5559442888466406,-4.542852429457934e-05,0.6186215319657778,0.0005420976768294869,0.3800898770684545,0.38008987706845404,3.9611897214426016e-05,0.38005755027147514,-2.2373787013878753e-07,0.005828999142305855,-1.8058927612446412e-06,-1.5762416396454766,-0.0004144141238177163,1.5699630715608843,-0.7852995328190662,-5.332773808257529e-05,-8.61604328698495e-06,-5.0316772177092474e-05,-1.5707081028743426,0.0005551306552346852,1.5710262670935362,-0.7851999616123094,0.0002314769898032233
1984.872292818,-0.10334604802905127,0.3263293405896603,0.3626564275763656,0.5565831073900065,-8.562041570444618e-05,0.6198859935026291,0.5559463642387767,-4.162169526100293e-05,0.6186263275787143,0.0014121387920140044,0.9066912044360378,0.9066912044360372,0.0033491069815128533,0.9033791916006902,-2.4883765825634266e-06,0.0058276530756316775,-3.8502933695193474e-06,-1.5762330481187323,-0.0003317160575133352,1.569997978900342,-0.785292993745215,-0.00026719879735347715,-3.334651415583351e-05,-0.0002519773006781434,-1.5703854139348365,0.00266887301785448,1.572152855410225,-0.7849871882204067,0.0005034912342190826
1984.899083072,-0.10313135073400748,0.3265327169750445,0.3630185669722488,0.5567254708597754,-0.0002359085222351025,0.6201394910797473,0.5559600031310864,-2.2519501737941497e-05,0.6186513348007218,0.0016870343293887684,1.112856372732611,1.112856372732611,0.020815928767440886,1.0921728006643026,-1.322789890789995e-05,0.005824400791300078,-1.3554127007867091e-05,-1.5762022288269613,-2.2753773259451062e-05,1.570150307521972,-0.7852648057894545,-0.0005943164623823106,-1.601700300044069e-05,-0.0005623953346243671,-1.5699117407164236,0.005566042377977266,1.5735765953587928,-0.7846547596578615,0.000628860703859916
1984.925930714,-0.10312835529296727,0.3268581617785816,0.3635658418223569,0.5569532822222514,-0.0002380053309632495,0.6205225834748229,0.5559881569095643,4.844627947406661e-06,0.6186996467435891,0.002076906665648133,1.3673477114099424,1.3673477114099424,0.056098522042489725,1.3113666341703438,-4.758280431798867e-05,0.005820002824040066,-4.028924043430288e-05,-1.5761455496830947,0.0005538849015213625,1.5704357419515211,-0.7852074761845531,-0.0009886249094563943,7.418118688029853e-06,-0.0009362915713805024,-1.5693379812868613,0.009015021614041725,1.5753546439965562,-0.7843847288618188,0.0007440691651434058
1984.953859874,-0.1032452661259454,0.327296903297018,0.3642985993196567,0.5572604012851569,-0.00015616774787855935,0.6210355137229328,0.5560339662386041,3.275902610680986e-05,0.618782080889478,0.002572507683998917,1.7163131174726012,1.716313117472599,0.11224371290195403,1.6043818122663995,-0.00011581879953396355,0.005815420566559014,-9.246014352410996e-05,-1.5760414572022203,0.001436911464864412,1.5708830649784364,-0.7851361736274002,-0.0014712011223080167,6.0117126693430595e-05,-0.0013917295686669269,-1.568579269918301,0.013355699579335323,1.5776082394227922,-0.7844114122575738,0.0009331570562935732
1984.980670712,-0.1034120574249314,0.32730856301874545,0.36430000598682993,0.5572685630903661,-3.9413838588357904e-05,0.6210364983899541,0.5561024068919878,5.74858023014289e-05,0.6189066338549503,0.00243015076834504,1.7093179964310274,1.709317996431025,0.192456842036413,1.5185269850463263,-0.0002215651831718415,0.005817861852469546,-0.00018016974576155002,-1.5758716843325997,0.0026641034912385886,1.5715054398970882,-0.7850783026626776,-0.0019325845610040182,0.00013650145493547208,-0.001823204246754925,-1.5677729693090818,0.017829954401401074,1.5798808229528463,-0.7849411365200013,0.0008842902847990145
1985.008577011,-0.1034118365614204,0.3273325591118036,0.363964153458158,0.5572853603555068,-3.956844304605373e-05,0.6208014016198837,0.5561920808365884,7.623044915260166e-05,0.6190724933995158,0.0020488516599248335,1.7093179964310248,1.7093179964310221,0.29470626815931167,1.417037350537105,-0.00036239681056670877,0.0058252972369759815,-0.00030231969229137565,-1.575640424624387,0.004195679128722857,1.5722886002543195,-0.7850722532238318,-0.0023690583575241247,0.00017589180463109896,-0.002231317994152884,-1.5670657704124715,0.022039097476642674,1.582175364913735,-0.7854851934849612,0.00082544793524039
1985.035108323,-0.10324428315068723,0.32740370032139376,0.3644820268650479,0.5573351592022199,-0.00015685583055927312,0.6211639130047066,0.5562994980147521,8.846843911636444e-05,0.619274756726415,0.0021683379663530087,1.8026922836069978,1.8026922836069954,0.4157273532643132,1.3879777990824744,-0.0005336767823096572,0.0058337351287278275,-0.00045452601769522605,-1.575360768838286,0.005985944629064703,1.573213719199062,-0.7851202302314837,-0.0028065890792088577,0.00020702401494069968,-0.0026409730516778807,-1.5663669148206532,0.02620089454866245,1.5843275813288833,-0.7859675050392344,0.0008039957776119123
1985.061189565,-0.10307827217223088,0.32730898626468674,0.3639613048935693,0.557268859362525,-0.00027306351547871937,0.6207994076246717,0.556420677920795,9.419629384973356e-05,0.6195075267804938,0.0015884733681106945,1.7277562915184332,1.7277562915184324,0.5526454443718192,1.1751547899321217,-0.0007313573461883656,0.005840434419204395,-0.0006328814104301525,-1.5750445712206638,0.007987753149909616,1.5742553216937443,-0.7851942777851506,-0.0032215003559632064,0.00017885919049210613,-0.0030330984289881012,-1.5659136319807432,0.029786501022973418,1.586385911643257,-0.786044460985078,0.0006828298602700835
1985.087680636,-0.10240958743910297,0.3274303031861929,0.36429568029797665,0.5573537812075793,-0.0007411428286682552,0.6210334704077568,0.5565517234695464,8.96615072380209e-05,0.6197608087131796,0.001718487779573411,1.7616015478240057,1.7616015478240035,0.7009205816897126,1.066857720470873,-0.0009520353041663921,0.0058441955385295005,-0.0008341595307420134,-1.5747101720969112,0.010130534567780573,1.5753830167543277,-0.7852646877675837,-0.0036918978180486145,0.00022103629208096434,-0.0034837624773026,-1.5654110953464875,0.033037899416671,1.5880689507545904,-0.7857918089850173,0.0005967725555088847
1985.114756696,-0.10198440851057028,0.32739782091228015,0.36429094649131966,0.5573310436158404,-0.0010387680786411407,0.6210301567430969,0.5566878186880646,6.884358073447165e-05,0.6200273118509089,0.0016267267052226804,1.8571770845837834,1.8571770845837805,0.8565442178597066,1.0363848174620534,-0.0011969448874053538,0.005847253157209103,-0.0010593485708171443,-1.5743604817575299,0.012362025668222516,1.5765487394376065,-0.7853010114686406,-0.004212036675966021,0.00032486779977675855,-0.0039880519098214485,-1.5649554869647557,0.03594690394451065,1.5892432355253066,-0.7850278101020276,0.0005993233558759551
1985.141680984,-0.10139274482102537,0.3273498397456089,0.3642840226727183,0.5572974567991705,-0.00145293266132258,0.6210253100700759,0.5568248405854729,2.5578263059441043e-05,0.6202990712220916,0.0017137046137792893,2.01709891343203,2.0170989134320316,1.0168014383867734,1.1166737175580328,-0.0014691532596829327,0.005857873807859688,-0.0013116248839153929,-1.573991537924328,0.014664907361899406,1.577691614025153,-0.7852473339386967,-0.00481418176123015,0.000542273243876088,-0.0045749508836057644,-1.564353177928793,0.03899475369430879,1.5896860414261214,-0.7838269316787896,0.0006016691171561728
