timestamp,omy_position_x,omy_position_y,omy_position_z,fr3_target_position_x,fr3_target_position_y,fr3_target_position_z,fr3_actual_position_x,fr3_actual_position_y,fr3_actual_position_z,position_error_norm,omy_relative_angle_deg,fr3_target_angle_deg,fr3_actual_angle_deg,orientation_error_deg,q1,q2,q3,q4,q5,q6,q7,q_cmd1,q_cmd2,q_cmd3,q_cmd4,q_cmd5,q_cmd6,q_cmd7,max_joint_step,raw_max_dq,cmd_max_dq,dq_saturated,dt
5699.341130661,-0.08777077990825737,0.3546378272738412,0.35850307871540027,0.5559722128508985,-0.0006620362350617311,0.6186333796941712,0.5559442518879489,-4.544253398554913e-05,0.618621446504726,0.0006173426995326229,0.44815596968703686,0.4481559696870378,0.00010319622054295694,0.44805449818952947,-2.044475073127817e-07,0.0058290500610157225,-1.799890344535958e-06,-1.576242018705053,-0.0004155476577638579,1.5699622826899544,-0.7852940643256976,-6.915185842330685e-05,2.2321790294572458e-05,-7.12531579508532e-05,-1.5707886313403314,3.833462148353324e-05,1.5707287915379042,-0.7846750695059289,0.000252302614965959,0.000252302614965959,0.000252302614965959,False,0.0052877999996781
5699.371023379,-0.08606943739913606,0.35480505327563083,0.358710714104684,0.5560892710521512,-0.0018529759914466474,0.6187787244666698,0.5559440488327789,-4.870083621353685e-05,0.6186211107777139,0.0018169591089887476,1.3045751480264496,1.3045751480264505,0.005345011041150915,1.2994935232991114,-4.778252230130589e-06,0.005829325893962127,-6.786413252900675e-06,-1.5762418084392635,-0.00041142108088851174,1.5699564867234665,-0.7851690163525598,-0.0004440567969456745,0.00022277628634907544,-0.0004509256611981161,-1.570444430275421,0.0008071146662879827,1.570204893906429,-0.7820978364428726,0.0006761127232357394,0.0006761127232357394,0.0006761127232357394,False,0.005310748999363568
5699.398620728,-0.0849149252475881,0.35493894936170334,0.35890726293221803,0.556182998312402,-0.002661134497530213,0.6189163086459436,0.5559406571249486,-6.264301707277584e-05,0.6186199224735522,0.002626543734326738,1.8907020421213456,1.8907020421213436,0.02860105805165309,1.8627894949738806,-3.1520010691451864e-05,0.005839597742636434,-3.121997637679925e-05,-1.5762185550309866,-0.0003128827237799754,1.5698887356729896,-0.7847344139026893,-0.0011617402839928718,0.0006430492429700806,-0.0011731423511999195,-1.5696789518121417,0.0026608608710476218,1.569199962968335,-0.7777361056781432,0.0009405079001890166,0.0009405079001890166,0.0009405079001890166,False,0.005734094000217738
5699.42684883,-0.0841519493976135,0.35496712452976287,0.35858091694435457,0.5562027209300437,-0.0031952175925124356,0.6186878664544392,0.5559388467788545,-0.00010746601204710038,0.6186239901163715,0.0030996644297241194,2.281050293409586,2.281050293409579,0.08172551235650938,2.200193576004407,-0.00011635156691357934,0.005891647149076859,-0.00010194864248601439,-1.5761134147204834,-1.1263083876468275e-05,1.5697128650901722,-0.7838896840828193,-0.0021001356757884312,0.0012381688388999196,-0.002114262583840601,-1.5686110756369447,0.00533354442705222,1.5677785190073392,-0.7724582206455862,0.0011006848553987113,0.0011006848553987113,0.0011006848553987113,False,0.005429732000266085
5699.454979759,-0.08356065034759519,0.3549534407969836,0.35892347945542363,0.5561931423170983,-0.0036091269275252543,0.6189276602121875,0.5559411612814026,-0.00020685908258733922,0.6186345938897965,0.0034241508144894186,2.591491033638047,2.591491033638046,0.17170345375722015,2.421299168107285,-0.0002791704116987933,0.005996573076454111,-0.0002486684253010461,-1.5759082379803209,0.0005449776569850249,1.5694065801166195,-0.7825956277498727,-0.003186488656177219,0.0018887329863431024,-0.003201620963674715,-1.5673288178061842,0.00859952415116618,1.5659807497023124,-0.7666254804366459,0.001190914105421127,0.001190914105421127,0.001190914105421127,False,0.00512243200046214
5699.484533809,-0.08318026083124727,0.35495450009807356,0.35892768138948045,0.5561938838278612,-0.0038753995889687968,0.6189306015660273,0.5559460628915603,-0.0003743432154701022,0.6186512727592443,0.0035209140189990003,2.787433120706993,2.7874331207069893,0.30088132909454546,2.488692337270721,-0.0005290353511014371,0.006157971103290712,-0.0004833757751914843,-1.5755956833332794,0.001359280710108408,1.5689439411424453,-0.7808533563589479,-0.004288773104421757,0.002655131628669363,-0.004305982907053595,-1.565948537866605,0.0118387487850241,1.563888985375491,-0.7605683146695018,0.0012197106232690277,0.0012197106232690277,0.0012197106232690277,False,0.0052983970008426695
5699.512478401,-0.08355746200205919,0.35482649098923325,0.35893020633168865,0.556104277451673,-0.003611358769400457,0.618932369025573,0.5559530109577038,-0.0006113967071333422,0.6186718584095742,0.003015048873283451,2.7923952462332187,2.792395246233218,0.4669762574398695,2.3283834679706317,-0.0008615925024159059,0.006375569253811902,-0.000803522703437319,-1.5751810186577764,0.002404418514920657,1.568323150848055,-0.7787057813634056,-0.0052819591412289505,0.0033645891432516877,-0.005301341131111043,-1.5646798843327114,0.014923658135402064,1.561786341725937,-0.7548237300759821,0.001154545742384976,0.001154545742384976,0.001154545742384976,False,0.005537711000215495
5699.54214564,-0.08339026758624024,0.35482624177177113,0.35893270011218414,0.5561041029994495,-0.0037283948604737178,0.6189341146719198,0.555960719374554,-0.0009090524357629453,0.6186933985465656,0.0028332304573874204,2.872914379107172,2.872914379107168,0.6643520270821026,2.211635975192183,-0.0012633638366181396,0.006640184518760152,-0.0011963863027846507,-1.574684460447035,0.0036389724455538953,1.567564079333908,-0.7762182337987875,-0.0062215547243621985,0.004035449652371263,-0.0062436575145216,-1.5634519319824425,0.017822269480791613,1.5598213829140655,-0.7492860525851155,0.0011092018668203845,0.0011092018668203845,0.0011092018668203845,False,0.005832183999700646
5699.570563395,-0.08302109849107484,0.3547344353555889,0.3584195420511552,0.5560398385081219,-0.003986813227089502,0.6185749040291997,0.5559692207390942,-0.0012561184205150322,0.6187158014144891,0.0027352391246720344,3.0704691567665447,3.070469156766546,0.8878668838448315,2.189631597191636,-0.0017218798112486403,0.0069444164348586995,-0.001648834878897137,-1.5741183988469016,0.005031053171547968,1.5666896640189367,-0.7734404472355404,-0.0071380018664140765,0.004674655696609123,-0.0071633128925624075,-1.5622646939047398,0.020653527666796838,1.5578190171945232,-0.7437848769380374,0.0011026550846390767,0.0011026550846390767,0.0011026550846390767,False,0.005648343999382632
5699.597338034,-0.08275067599817801,0.3548251522214803,0.3589365701401953,0.5561033403142459,-0.004176108972117281,0.6189368236915277,0.5559770901766609,-0.0016436647089362667,0.6187391291573769,0.0025432845244273707,3.221507596645063,3.221507596645059,1.1341465885504618,2.0980654922307584,-0.002227836838773826,0.007282974747714856,-0.00215095839200512,-1.5734906295443296,0.006558614535227336,1.5657039330331053,-0.7704072247742981,-0.008016009093929683,0.005377114717306982,-0.008043588185788092,-1.5610012998457938,0.023465778854992184,1.5557204244199831,-0.7385547679513161,0.001009116749815743,0.001009116749815743,0.001009116749815743,False,0.0052919769996151445
